nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CARGADOR IPHONE 20W;;;;;;1097;0;15573;15572.91667;0;0;10230;10230;0;0;0;0;10230;5;FALSE;FALSE;FALSE;1;34.3090301;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;MELLO ACCESORIOS;77332;;;Estandar
CARGADOR MOTOROLA 125W;;;;;;1000;0;20365;20364.58333;0;0;18888.88889;18888.88889;0;0;0;0;18888.88889;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;28569.44444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR ORIGINAL IPHONE 20W;;;;;;999;0;35938;35937.5;0;0;33333.33333;33333.33333;0;0;0;0;33333.33333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;43916.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 12W;;;;;;999;0;10542;10541.66667;0;0;9777.777778;9777.777778;0;0;0;0;9777.777778;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;18888.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 5W;;;;;;999;0;8146;8145.833333;0;0;7555.555556;7555.555556;0;0;0;0;7555.555556;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;16527.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 9W;;;;;;994;0;10182;10182.29167;0;0;9444.444444;9444.444444;0;0;0;0;9444.444444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;18534.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR RELOJ W8;;;;;;1000;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 25W;;;;;;998;0;12938;12937.5;0;0;12000;12000;0;0;0;0;12000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;21250;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 25W;;;;;;997;0;11979;11979.16667;0;0;11111.11111;11111.11111;0;0;0;0;11111.11111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;20305.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 45W;;;;;;1182;0;13177;13177.08333;0;0;9680;9680;0;0;0;0;9680;5;FALSE;FALSE;FALSE;1;26.53913043;TRUE;ACCESORIOS;GENERICA;;21486.11111;0;0;0;;MELLO ACCESORIOS;77332;;;Estandar
CARGADOR SAMSUNG ORIGINAL TC BOLSA;;;;;;994;0;8984;8984.375;0;0;8333.333333;8333.333333;0;0;0;0;8333.333333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG ORIGINAL V8 BOLSA;;;;;;995;0;8385;8385.416667;0;0;7777.777778;7777.777778;0;0;0;0;7777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;16763.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC 3.1;;;;;;989;0;7786;7786.458333;0;0;7222.222222;7222.222222;0;0;0;0;7222.222222;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;16173.61111;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC 5A;;;;;;1000;0;11380;11380.20833;0;0;10555.55556;10555.55556;0;0;0;0;10555.55556;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;19715.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC BOLSA JB-C04;;;;;;979;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TICPO C AD-04;;;;;;1000;0;6589;6588.541667;0;0;6111.111111;6111.111111;0;0;0;0;6111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
